,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
234,B6Pr1,"CUB
",221,69.7008,4.90218,[ 4.115405  4.115405  4.115405 90.       90.       90.      ],,7,-6.48372,-0.00136938,2.20222,23,[ 7.9946  8.4983  8.7042  8.5261  8.8165  8.3128 18.8483],[-0.1312 -0.2727 -0.3396 -0.3251 -0.3906 -0.2491  1.7083]
235,Si1U3,"CUB
",221,83.5264,14.7548,[ 4.371274  4.371274  4.371274 90.       90.       90.      ],,4,-7.03789,-0.000423857,-0.000112762,22,[18.8635 21.6822 20.6732 22.3076],[-1.0175  0.3096  0.5522  0.1557]
236,Rh3Ti1,"CUB
",221,57.3964,10.3173,[ 3.857402  3.857402  3.857402 90.       90.       90.      ],,4,-4.78279,0.000667125,1.13888,31,[16.0517 15.5129 16.5413  9.2905],[-0.5499 -0.417  -0.6719  1.6389]
237,B6Ho1,"CUB
",221,68.3978,5.57878,[ 4.089599  4.089599  4.089599 90.       90.       90.      ],-42.8543,7,-6.77466,0.000113124,1.77379,31,[ 8.057   8.637   8.709   9.2644  8.464   9.044  16.2224],[-0.0959 -0.2511 -0.3292 -0.4769 -0.235  -0.3901  1.7783]
238,In2Te3,"RHL
",166,157.226,6.46829,[10.01413 10.01413 10.01413 24.95239 24.95239 24.95239],,5,-3.18442,7.1284e-05,1.77375,24,[22.0567 22.0565 38.1445 38.1277 36.838 ],[ 0.723   0.723  -0.4231 -0.4224 -0.6004]
239,Ir1V1,"TET
",123,28.3695,14.2329,[ 2.790411  2.790411  3.643464 90.       90.       90.      ],,2,-6.74687,1.5035e-05,0.580215,14,[18.8627  9.5067],[-1.2277  1.2277]
240,S1Ti1,"HEX
",187,31.0851,4.2714,[  3.315725   3.315725   3.264923  90.        90.       120.0019  ],,2,-5.87122,3.35e-06,2.8403,10,[19.4766 11.6085],[-1.3646  1.3646]
241,As1Zr1,"FCC
",225,41.0809,6.71565,[ 3.873037  3.873037  3.873037 60.       60.       60.      ],-2.15702,2,-7.67633,-0.000485085,1.84071,9,[25.2424 15.8386],[-1.4343  1.4343]
242,Si2W1,"BCT
",139,41.4062,9.62573,[  4.560705   4.560705   4.560705 138.382    138.382     60.31845 ],,3,-7.44967,-0.000102273,0.9135,14,[13.0261 12.9077 15.4723],[-0.1141 -0.0771  0.1912]
243,Lu1Te1,"FCC
",225,53.6088,9.37206,[ 4.23237  4.23237  4.23237 60.      60.      60.     ],,2,-4.90068,-0.000839275,1.01609,23,,
