,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
58,Ca1Pb1,"TET
",123,60.9316,6.739,[ 3.61999   3.61999   4.649735 90.       90.       90.      ],-1.04641,2,-3.3765,0.00020516,1.10245,6,[16.9429 43.9887],[ 1.2336 -1.2336]
59,Hg1,"RHL
",166,28.2002,11.8115,[ 3.095243  3.095243  3.095243 78.97974  78.97974  78.97974 ],0.017891,1,-0.282056,3.168e-05,0.612249,12,[28.2002],[-0.]
60,Te1,"RHL
",166,32.7257,6.47457,[ 3.198653  3.198653  3.198653 90.24578  90.24578  90.24578 ],0.044244,1,-3.0971,-0.00022027,1.78051,6,[32.7257],[0.]
61,Ga3Sc1,"CUB
",221,71.5259,5.90072,[ 4.151016  4.151016  4.151016 90.       90.       90.      ],,4,-3.53468,-0.000505273,2.13018,12,[19.8951 20.0444 19.7125 11.8739],[-0.4855 -0.5077 -0.4591  1.4523]
62,Sn3Th1,"CUB
",221,115.772,8.43536,[ 4.873799  4.873799  4.873799 90.       90.       90.      ],,4,-4.7306,-0.00019249,-0.000468977,16,[29.1528 29.9885 28.3171 28.2266],[-0.4178 -0.5025 -0.3331  1.2534]
63,Na1Pb3,"CUB
",221,120.422,8.88844,[ 4.938204  4.938204  4.938204 90.       90.       90.      ],-0.471115,4,-3.22542,4.33025e-05,0.79391,13,[10.8461 37.4264 35.4614 36.6884],[ 0.7597 -0.3191 -0.1763 -0.2643]
64,Cu1Mo6Se8,"RHL
",148,313.256,6.73674,[ 6.804225  6.804225  6.804225 93.42887  93.42887  93.42887 ],,15,-5.67627,3.21307e-05,1.83473,95,"[16.8984 14.8445 14.8382 14.8377 14.8424 14.8377 14.8403 25.6433 25.6433
 26.0053 26.0048 26.0053 26.0048 26.0053 26.0048]","[ 0.4205  0.7748  0.7767  0.7767  0.7755  0.7767  0.7759 -0.6059 -0.6059
 -0.6442 -0.6442 -0.6442 -0.6442 -0.6442 -0.6442]"
65,Si2Th1,"HEX
",191,65.0194,7.36062,[  4.223405   4.223188   4.209365  90.        90.       120.0017  ],,3,-6.2326,0.000157193,-0.000263339,12,[20.2987 19.5189 25.2017],[-0.8    -0.6342  1.4342]
66,Al1Sb1,"FCC
",216,60.5593,4.07823,[ 4.407902  4.407902  4.407902 60.       60.       60.      ],-0.564176,2,-4.09853,6.119e-05,2.82116,8,[13.3278 47.2315],[ 1.4971 -1.4971]
67,B6Y1,"CUB
",221,68.9709,3.70206,[ 4.10099  4.10099  4.10099 90.      90.      90.     ],-42.9469,7,-7.05855,-3.04429e-06,3.33511,21,[ 9.0286  8.9717  9.0326  8.7584  8.6033  9.0565 15.5198],[-0.3245 -0.3592 -0.3261 -0.2876 -0.2306 -0.3316  1.8594]
68,Al1Zr3,"CUB
",221,84.1263,5.93426,[ 4.381712  4.381712  4.381712 90.       90.       90.      ],-1.2016,4,-7.64378,0.000378072,2.04656,15,[22.9573 20.1769 20.112  20.8801],[-0.9938  0.3692  0.3799  0.2447]
